"GeoCode","GeoCodeLabel","Number_of_Motor_Vehicle_Collisions","Vehicles_or_Motorists_Involved","Injury_or_Fatal_Collisions","MotoristsInjured","MotoristsKilled","PassengInjured","PassengKilled","CyclistsInjured","CyclistsKilled","PedestrInjured","PedestrKilled","Bicycle"
1,"1st Precinct","89","165","16","8","0","1","0","6","0","5","0","8"
5,"5th Precinct","66","122","23","10","0","5","0","6","0","7","0","7"
6,"6th Precinct","48","86","16","5","0","4","0","3","0","7","0","8"
7,"7th Precinct","71","127","31","12","0","6","0","10","0","5","0","10"
9,"9th Precinct","48","88","20","9","0","7","0","6","0","4","0","6"
10,"10th Precinct","60","107","14","4","0","6","0","1","0","6","0","4"
13,"13th Precinct","80","133","32","8","0","11","0","12","0","9","0","15"
14,"Midtown South Precinct","75","125","24","6","0","5","0","10","0","6","0","16"
17,"17th Precinct","85","156","36","12","0","12","0","11","0","6","0","11"
18,"Midtown North Precinct","101","163","48","14","1","6","0","21","0","10","0","24"
19,"19th Precinct","140","252","40","19","0","13","0","13","0","7","0","20"
20,"20th Precinct","54","89","23","7","0","5","0","9","0","2","0","10"
22,"Central Park Precinct","9","11","6","2","0","5","0","0","0","0","0","3"
23,"23rd Precinct","95","167","38","15","0","16","0","11","0","9","0","14"
24,"24th Precinct","65","128","15","7","0","1","0","8","0","0","0","12"
25,"25th Precinct","104","194","40","24","0","14","0","9","0","7","0","9"
26,"26th Precinct","37","74","10","6","0","4","0","3","0","0","0","3"
28,"28th Precinct","48","91","23","8","0","11","0","5","0","3","0","5"
30,"30th Precinct","56","106","25","13","0","12","0","5","0","2","0","6"
32,"32nd Precinct","89","175","36","27","0","18","0","6","0","5","0","8"
33,"33rd Precinct","82","153","26","18","0","13","0","5","0","5","0","6"
34,"34th Precinct","89","172","29","14","0","16","0","5","0","6","0","5"
40,"40th Precinct","150","289","64","37","1","30","0","8","1","9","0","11"
41,"41st Precinct","103","205","35","19","0","12","0","6","0","6","0","6"
42,"42nd Precinct","101","202","37","19","1","8","0","4","0","11","0","5"
43,"43rd Precinct","184","383","61","43","0","31","0","4","0","8","0","4"
44,"44th Precinct","150","296","61","40","0","28","0","12","0","13","0","12"
45,"45th Precinct","135","268","48","41","0","30","0","3","0","3","0","3"
46,"46th Precinct","116","238","54","31","1","20","0","9","0","10","0","9"
47,"47th Precinct","183","382","61","46","0","38","0","5","0","10","0","5"
48,"48th Precinct","105","210","47","28","0","29","0","4","0","10","0","5"
49,"49th Precinct","106","217","53","34","0","41","0","5","0","7","0","5"
50,"50th Precinct","88","170","31","20","0","6","0","3","0","5","0","3"
52,"52nd Precinct","142","282","51","30","0","27","0","3","0","8","0","4"
60,"60th Precinct","96","194","32","24","0","12","0","3","0","6","0","3"
61,"61st Precinct","130","262","65","52","0","30","0","4","0","11","0","5"
62,"62nd Precinct","139","278","50","23","1","22","0","12","0","6","0","13"
63,"63rd Precinct","124","250","63","44","0","26","0","10","0","6","0","11"
66,"66th Precinct","145","279","72","22","0","19","1","25","0","15","0","26"
67,"67th Precinct","177","359","75","48","0","33","0","12","0","12","0","13"
